date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Feb%202025%2010:52:31%20UTC	https://overiq.com/robots.txt		(from )
16:22:33	39517/39517	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2008:36:36%20UTC	https://overiq.com/	/home/x/websites/overiq.com/overiq.com/index.html	(from )
16:22:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Feb%202025%2010:52:33%20UTC	https://overiq.com/GET	/home/x/websites/overiq.com/overiq.com/GET.0.delayed	(from https://overiq.com/)
16:22:35	824/824	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2010:52:34%20GMT	https://overiq.com/detroitchicago/boise.js	/home/x/websites/overiq.com/overiq.com/detroitchicago/boise.js	(from https://overiq.com/)
16:22:35	4003/4003	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2010:52:34%20UTC	https://overiq.com/GET/	/home/x/websites/overiq.com/overiq.com/GET/index.html	(from https://overiq.com/)
16:22:36	824/824	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2010:52:35%20GMT	https://overiq.com/detroitchicago/boise.js?gcb=195-3&cb=5	/home/x/websites/overiq.com/overiq.com/detroitchicago/boisebb26.js	(from https://overiq.com/)
16:22:37	11042/11042	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2010:52:36%20GMT	https://overiq.com/parsonsmaize/abilene.js	/home/x/websites/overiq.com/overiq.com/parsonsmaize/abilene.js	(from https://overiq.com/)
16:22:38	11042/11042	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2010:52:37%20GMT	https://overiq.com/parsonsmaize/abilene.js?gcb=195-3&cb=7f81d60744	/home/x/websites/overiq.com/overiq.com/parsonsmaize/abilenec0f9.js	(from https://overiq.com/)
16:22:39	1105/1105	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2010:52:38%20GMT	https://overiq.com/parsonsmaize/mulvane.js	/home/x/websites/overiq.com/overiq.com/parsonsmaize/mulvane.js	(from https://overiq.com/)
16:22:40	1105/1105	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2010:52:39%20GMT	https://overiq.com/parsonsmaize/mulvane.js?gcb=195-3&cb=e75e48eec0	/home/x/websites/overiq.com/overiq.com/parsonsmaize/mulvane2d63.js	(from https://overiq.com/)
16:22:41	752/752	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2010:52:40%20GMT	https://overiq.com/detroitchicago/birmingham.js	/home/x/websites/overiq.com/overiq.com/detroitchicago/birmingham.js	(from https://overiq.com/)
16:22:42	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Feb%202025%2010:52:42%20GMT	http://securepubads.g.doubleclick.net/tag/js/gpt.js	/home/x/websites/overiq.com/securepubads.g.doubleclick.net/tag/js/gpt.9.delayed	(from https://overiq.com/)
